"","x"
"1487","850"
"1488","v8"
"1489","1860s"
"1490","##ن"
"1491","80s"
"1492","340"
"1493","##16"
"1494","1787"
"1495","143"
"1496","##15"
"1497","##60"
"1498","142"
"1499","1777"
"1500","##19"
"1501","##ν"
"1502","##ович"
"1503","501"
"1504","##0s"
"1505","29th"
"1506","205"
"1507","1778"
"1508","146"
"1509","201"
"1510","##ø"
"1511","1900s"
"1512","370"
"1513","148"
"1514","147"
"1515","1850s"
"1516","1784"
"1517","151"
"1518","40th"
"1519","##17"
"1520","1700"
"1521","139"
"1522","154"
"1523","##32"
"1524","153"
"1525","156"
"1526","167"
"1527","1781"
"1528","202"
"1529","1758"
"1530","##р"
"1531","1782"
"1532","100th"
"1533","168"
"1534","##14"
"1535","##₄"
"1536","380"
"1537","31st"
"1538","##₀"
"1539","##13"
"1540","##ر"
"1541","310"
"1542","290"
"1543","90s"
"1544","1785"
"1545","460"
"1546","256"
"1547","480"
"1548","195"
"1549","149"
"1550","a1"
"1551","161"
"1552","157"
"1553","215"
"1554","440"
"1555","##я"
"1556","1786"
"1557","420"
"1558","##21"
"1559","1772"
"1560","##ße"
"1561","275"
"1562","70s"
"1563","1774"
"1564","192"
"1565","1779"
"1566","182"
"1567","158"
"1568","1770"
"1569","##25"
"1570","łodz"
"1571","235"
"1572","162"
"1573","163"
"1574","##80"
"1575","164"
"1576","1660"
"1577","375"
"1578","##³"
"1579","177"
"1580","##48"
"1581","49ers"
"1582","212"
"1583","1750"
"1584","##ι"
"1585","171"
"1586","172"
"1587","1763"
"1588","##ان"
"1589","208"
"1590","203"
"1591","176"
"1592","169"
"1593","181"
"1594","166"
"1595","##100"
"1596","183"
"1597","¹⁄₂"
"1598","206"
"1599","##ł"
"1600","##24"
"1601","159"
"1602","##н"
"1603","222"
"1604","1760"
"1605","##ᵢ"
"1606","##ₙ"
"1607","188"
"1608","301"
"1609","410"
"1610","211"
"1611","##ов"
"1612","178"
"1613","1840s"
"1614","##ß"
"1615","##22"
"1616","365"
"1617","209"
"1618","173"
"1619","##ة"
"1620","187"
"1621","##35"
"1622","174"
"1623","1300"
"1624","430"
"1625","##ς"
"1626","221"
"1627","186"
"1628","520"
"1629","204"
"1630","325"
"1631","184"
"1632","##ław"
"1633","224"
"1634","640"
"1635","1768"
"1636","610"
"1637","##70"
"1638","207"
"1639","##на"
"1640","191"
"1641","1800s"
"1642","213"
"1643","1773"
"1644","214"
"1645","194"
"1646","##45"
"1647","197"
"1648","193"
"1649","303"
"1650","911"
"1651","198"
"1652","390"
"1653","196"
"1654","f1"
"1655","4000"
"1656","co₂"
"1657","35th"
"1658","540"
"1659","216"
"1660","231"
"1661","179"
"1662","950"
"1663","217"
"1664","60s"
"1665","1830s"
"1666","305"
"1667","34th"
"1668","189"
"1669","265"
"1670","32nd"
"1671","219"
"1672","255"
"1673","1400"
"1674","1769"
"1675","232"
"1676","1771"
"1677","199"
"1678","1a"
"1679","218"
"1680","1765"
"1681","223"
"1682","1762"
"1683","##86"
"1684","33rd"
"1685","60th"
"1686","##42"
"1687","660"
"1688","245"
"1689","226"
"1690","312"
"1691","##90"
"1692","470"
"1693","##64"
"1694","333"
"1695","560"
"1696","1761"
"1697","42nd"
"1698","1766"
"1699","1755"
"1700","36th"
"1701","##46"
"1702","##31"
"1703","1764"
"1704","227"
"1705","1767"
"1706","1640"
"1707","264"
"1708","##36"
"1709","1759"
"1710","295"
"1711","1740"
"1712","285"
"1713","1745"
"1714","£2"
"1715","1650"
"1716","##23"
"1717","##´s"
"1718","262"
"1719","234"
"1720","##34"
"1721","##38"
"1722","238"
"1723","38th"
"1724","302"
"1725","737"
"1726","1100"
"1727","233"
"1728","##م"
"1729","##51"
"1730","254"
"1731","228"
"1732","twenty20"
"1733","##53"
"1734","490"
"1735","241"
"1736","1756"
"1737","246"
"1738","##33"
"1739","##28"
"1740","242"
"1741","a2"
"1742","1648"
"1743","##−"
"1744","251"
"1745","1754"
"1746","1715"
"1747","##47"
"1748","1757"
"1749","##евич"
"1750","401"
"1751","1689"
"1752","39th"
"1753","229"
"1754","625"
"1755","720"
"1756","243"
"1757","252"
"1758","315"
"1759","##27"
"1760","##т"
"1761","##44"
"1762","281"
"1763","##ła"
"1764","313"
"1765","37th"
"1766","287"
"1767","253"
"1768","1730"
"1769","425"
"1770","m1"
"1771","237"
"1772","##sław"
"1773","u2"
"1774","##75"
"1775","mp3"
"1776","247"
"1777","2a"
"1778","##ː"
"1779","510"
"1780","1644"
"1781","##ия"
"1782","##39"
"1783","530"
"1784","311"
"1785","1720"
"1786","236"
"1787","630"
"1788","620"
"1789","249"
"1790","##41"
"1791","##ل"
"1792","239"
"1793","580"
"1794","##ь"
"1795","322"
"1796","##43"
"1797","345"
"1798","1753"
"1799","##26"
"1800","1710"
"1801","3a"
"1802","304"
"1803","802"
"1804","##к"
"1805","680"
"1806","316"
"1807","405"
"1808","321"
"1809","1661"
"1810","1642"
"1811","1688"
"1812","##55"
"1813","##01"
"1814","##♭"
"1815","435"
"1816","244"
"1817","272"
"1818","308"
"1819","41st"
"1820","1620"
"1821","257"
"1822","258"
"1823","512"
"1824","335"
"1825","385"
"1826","##37"
"1827","1751"
"1828","261"
"1829","1748"
"1830","1746"
"1831","1747"
"1832","307"
"1833","248"
"1834","##29"
"1835","1680"
"1836","306"
"1837","45th"
"1838","760"
"1839","395"
"1840","415"
"1841","1749"
"1842","278"
"1843","1752"
"1844","1690"
"1845","##η"
"1846","##ی"
"1847","h₂o"
"1848","404"
"1849","288"
"1850","570"
"1851","286"
"1852","##straße"
"1853","1630"
"1854","1707"
"1855","309"
"1856","1685"
"1857","75th"
"1858","271"
"1859","2500"
"1860","276"
"1861","268"
"1862","wrocław"
"1863","266"
"1864","590"
"1865","259"
"1866","980"
"1867","1714"
"1868","263"
"1869","328"
"1870","v6"
"1871","1741"
"1872","1727"
"1873","273"
"1874","747"
"1875","323"
"1876","267"
"1877","283"
